area	counterexample	current_test	required_test	owning_slice	oracle	gate
global_identity	equal numeric ids in different modules	test_qualified_global_names_isolate_module_local_ids	test_ownership_ingress_accepts_module_local_id_collisions	2-6	exact identity	compiler-blorp
global_ambiguity	same qualified name with distinct ids	test_leaves_distinct_same_named_globals_ambiguous	test_ownership_ingress_rejects_ambiguous_global_identity	2-6	typed failure	compiler-blorp
duplicate_identity	exact duplicate agrees while conflicting metadata rejects	test_duplicate_exact_global_identity_is_retained_once	test_global_catalog_rejects_conflicting_duplicate_identity	5	catalog result	compiler-blorp
local_identity	same name with different hygiene uniq	test_hygienic_local_collision_preserves_outer_use	test_ownership_target_distinguishes_hygienic_locals	6	ownership events	compiler-blorp
parameter_shadowing	parameter shares global spelling	test_function_parameter_shadows_global_value	test_ownership_ingress_accepts_parameter_shadowing	2-7	resolved Core	compiler-blorp
nested_shadowing	let match loop resource select and lambda binders shadow globals	test_let_lambda_and_resource_scopes	test_ownership_ingress_models_every_lexical_binder	2,6	resolved Core	compiler-blorp
global_initializer	self reference differs from another global	test_global_initializer_uses_declaration_scope	test_ownership_ingress_validates_global_initializer_scope	2-7	exact identity	compiler-blorp
mutable_global	exact assignment releases previous owner	test_mutable_managed_global_assignment_releases_previous_owner	test_global_catalog_mutable_assignment_event_parity	5-7	ownership events and leak	compiler-blorp,leak
nested_lambda	global read plus captured same-named local	test_lambda_temporaries_and_captured_owner_are_dropped	test_nested_lambda_global_and_same_named_capture_are_distinct	6,8	ownership events	compiler-blorp
borrowed_aggregate	borrowed owner is stored and escapes	test_managed_global_is_retained_when_stored_in_record	test_borrowed_owner_catalog_preserves_aggregate_escape	13	ownership events and runtime	compiler-blorp,runtime
returned_alias	direct and contracted aliases become owned	test_borrowed_managed_parameter_return_is_retained	test_exhaustive_summary_preserves_contracted_return_alias	9,13	ownership events and leak	compiler-blorp,leak
branch_ownership	one arm borrows while another consumes or aliases	test_if_borrowed_branch_and_cow_consuming_branch_balance_independently	test_explicit_branch_balance_preserves_mixed_ownership	9,12	branch events	compiler-blorp
repetition	zero one and many iterations with condition and body consumes	test_consuming_while_body_retains_owner_for_each_iteration	test_repetition_summary_distinguishes_zero_one_and_many_iterations	10	ownership events and runtime	compiler-blorp,runtime
tail_recursion	loop and rebind aliases and consumes remain balanced	test_tailrec_list_spread_scopes	test_tailrec_rebind_ownership_event_parity	9-12	ownership events and runtime	compiler-blorp,runtime
short_circuit	right arm ownership occurs only when evaluated	test_logical_operands_rewrite_ownership_independently	test_short_circuit_right_arm_ownership_is_conditional	9	branch events and runtime	compiler-blorp,runtime
break_continue	cleanup and post-loop ownership remain balanced	test_late_invariants_walk_break_and_continue	test_break_continue_ownership_cleanup_event_parity	9-12	ownership events and leak	compiler-blorp,leak
releasing_match	backend release and nested branch touch do not double drop	test_releasing_constructor_match_with_borrowed_literal_fallback_does_not_double_drop	test_explicit_releasing_match_strategy_preserves_owner	12	ownership events and leak	compiler-blorp,leak
list_handoff	source result length and output binders stay distinct	test_list_handoff_scopes	test_list_handoff_ownership_targets_remain_distinct	6,9	ownership events	compiler-blorp
select	wait expressions differ from selected arm and recv binder shadows	test_count_uses_select_waits_branches_and_shadowing	test_select_summary_preserves_wait_arm_and_binder_ownership	6,9	ownership events and runtime	compiler-blorp,runtime
closure_tasks	pre and post closure tasks preserve capture lifetime	test_count_uses_flattened_detach_payloads	test_pre_and_post_closure_task_capture_event_parity	6,9,13	ownership events and runtime	compiler-blorp,runtime
recursive_contracts	direct and consuming mutual cycles reach one fixed point	test_recursive_read_only_user_calls_borrow_argument	test_mutually_recursive_consuming_contracts_converge	4,14	exact contracts	compiler-blorp
specialized_calls	specialized names retain distinct contracts	test_specialized_functions_with_shared_def_id_keep_distinct_contracts	test_callable_catalog_distinguishes_specialized_identities	4,14	exact contracts	compiler-blorp
new_core_form	child-bearing variant cannot use a zero default	test_core_expr_variant_inventory_matches_ownership_ingress	test_new_core_form_requires_explicit_ownership_summary	2,9	ingress rejection or events	hygiene-check,compiler-blorp
deep_core	deep lets and sequences remain stack bounded	test_deep_managed_let_chain_inserts_drops_without_stack_growth	test_ownership_ready_validation_is_stack_bounded	all	focused suite	compiler-blorp
embedded_variables	dup drop assignment tensor view and match owner are accounted	test_raw_tensor_view_drops_source_after_body	test_ownership_ingress_checks_every_embedded_variable_position	2,6,9	ownership events	compiler-blorp
